4.5204|79,0.0175|36,5.7421|33,1.3265|94,2.6704|110,1.7453|58,3.6477|26,2.4260|109,4.9044|66,0.5411|22,5.3058|22,3.2114|110,2.7227|12,6.1261|54,3.5430|106,3.4208|23,3.3859|48,6.1610|21,2.8449|111,0.4014|92,3.0194|41,1.6581|4,2.2515|109,4.2237|52,1.4302|119,1.7453|43,0.5585|72,1.0123|20,0.8901|91,3.6836|48,6.0214|26,0.9988|97,5.1836|78,2.6529|35,3.0543|82,2.6180|107,0.7854|111,2.5307|102,1.3265|41,-0.8407|38,0.0906|83,2.5656|110,5.5676|7,2.6704|84,0.2443|43,4.2062|95,6.1436|78,5.7072|110,0.4493|28,0.0698|109,2.0420|120,0.3106|39,3.3132|98,2.1293|59,3.9095|108,2.6354|86,5.4454|39,2.5482|77,4.2412|3,2.8798|6,0.5585|86,1.9025|113,3.2289|87,-1.0198|7,-0.4686|79,3.9968|67,4.3808|112,5.9516|90,3.2987|113,6.2657|102,2.1621|65,0.2504|92,1.3657|96,3.4558|108,2.0420|85,2.0595|28,1.6578|70,-0.5521|11,3.8746|38,5.9167|41_45966
4.5204|79,0.0175|36,5.7421|33,1.3265|94,2.6704|110,1.7453|58,3.6477|26,2.4260|109,4.9044|66,0.5411|22,5.3058|22,3.2114|110,2.7227|12,6.1261|54,3.5430|106,3.4208|23,3.3859|48,6.1610|21,2.8449|111,0.4014|92,3.0194|41,1.6581|4,2.2515|109,4.2237|52,1.4302|119,1.7453|43,0.5585|72,1.0123|20,0.8901|91,3.6836|48,6.0214|26,0.9988|97,5.1836|78,2.6529|35,3.0543|82,2.6180|107,0.7854|111,2.5307|102,1.3265|41,-0.8407|38,0.0906|83,2.5656|110,5.5676|7,2.6704|84,0.2443|43,4.2062|95,6.1436|78,5.7072|110,0.4493|28,0.0698|109,2.0420|120,0.3106|39,3.3132|98,2.1293|59,1.1694|25,0.0873|17,2.1118|22,4.1190|106,1.5359|19,0.5760|92,4.3982|43,4.4680|81,1.0647|92,4.2935|93,1.9897|51,4.5379|59,4.2935|5,6.1785|87,3.2987|113,6.2657|102,2.1621|65,0.2504|92,1.3657|96,3.4558|108,2.0420|85,2.0595|28,1.6578|70,-0.5521|11,3.8746|38,5.9167|41_46145
4.5204|79,3.8746|90,3.9619|19,4.7298|90,0.4189|40,4.4506|92,3.7176|86,5.1662|15,0.8485|24,2.5831|87,1.0996|86,5.1836|36,6.0912|92,0.6981|94,3.3493|25,5.3058|74,3.3581|53,0.5664|79,1.9199|64,5.6723|43,1.3963|120,2.5831|1,6.1959|1,1.0647|103,4.5489|112,-0.5764|31,3.0543|75,1.6406|106,4.0317|50,-1.2797|72,2.7012|26,1.6057|60,4.9393|59,3.5954|7,1.7104|54,4.9044|64,0.8552|75,2.7377|99,4.9742|1,0.6981|103,1.3788|26,3.5954|54,1.3963|12,2.6594|82,0.2443|43,1.4196|36,1.1372|82,1.0123|88,5.5676|78,-1.3358|83,0.7881|60,3.8573|109,2.1118|96,-0.5426|23,3.4907|59,3.1067|64,1.0821|40,2.0420|23,3.3859|69,1.5154|86,1.6120|8,4.7298|59,0.0390|34,-1.0198|7,-0.4887|81,3.9968|67,4.3808|112,5.9516|90,3.2987|113,6.2657|102,2.1621|65,0.2504|92,1.3657|96,3.4558|108,2.0420|85,2.0595|28,1.6578|70,-0.5521|11,3.8746|38,5.9167|41_46568
4.5204|79,3.8746|90,3.9619|19,4.7298|90,0.4189|40,4.4506|92,3.7176|86,5.1662|15,0.8485|24,2.5831|87,1.0996|86,3.2114|110,2.7018|14,6.1261|54,3.5430|106,3.4208|23,3.3859|48,6.1610|21,2.8449|111,0.4014|92,3.0194|41,1.1816|5,2.2687|108,4.2237|52,1.4302|119,1.7453|43,0.5606|68,1.0123|20,0.8901|91,3.6836|48,6.0214|26,0.9988|97,5.1836|78,2.7316|33,3.0543|82,2.6180|105,0.7854|111,2.5307|102,1.3265|41,-0.8407|38,0.0906|83,2.5656|110,1.3963|12,2.6594|82,0.2443|43,1.4196|36,1.1372|82,1.0123|88,5.5676|78,-1.3358|83,0.7881|60,3.8573|109,2.1118|96,-0.5426|23,3.4907|59,3.1067|64,1.0821|40,2.0420|23,3.3859|69,1.5154|86,1.6120|8,4.7298|59,0.0390|34,-1.0198|7,-0.4887|81,3.9968|67,4.3808|112,5.9516|90,3.2987|113,6.2657|102,2.1621|65,0.2504|92,1.3657|96,3.4558|108,2.0420|85,2.0595|28,1.6578|70,-0.5521|11,3.8746|38,5.9167|41_47154
4.5204|79,3.8746|90,3.9619|19,4.7298|90,0.4189|40,4.4506|92,3.7176|86,5.1662|15,0.8485|24,2.5831|87,1.0996|86,3.2114|110,2.7018|14,6.1261|54,3.5430|106,3.4208|23,3.3859|48,6.1610|21,2.8449|111,0.4014|92,3.0194|41,1.1816|5,2.2687|108,4.2237|52,1.4302|119,1.7453|43,0.5606|68,1.0123|20,0.8901|91,3.3455|48,6.2657|45,1.0297|97,5.1836|78,2.6529|35,3.0543|82,2.6180|107,3.1067|115,5.7770|108,5.0789|112,3.5256|31,0.8153|96,5.4629|43,5.0440|54,4.3459|5,0.8727|72,1.5173|36,1.1170|81,1.0123|88,5.5676|78,-1.3358|83,0.7881|60,3.8573|109,2.1118|96,-0.5426|23,3.4907|59,3.1067|64,1.0821|40,2.0420|23,3.3859|69,1.5154|86,1.6120|8,4.7298|59,0.0390|34,-1.0198|7,-0.4887|81,3.9968|67,4.3808|112,5.9516|90,3.2987|113,6.2657|102,2.1621|65,0.2504|92,1.3657|96,3.4558|108,2.0420|85,2.0595|28,1.6578|70,-0.5521|11,3.8746|38,5.9167|41_47746
4.5204|79,3.8746|90,5.7421|33,1.3265|94,2.6704|110,1.7453|58,3.6477|26,2.4260|109,4.9044|66,0.5411|22,5.3058|22,3.2114|110,2.7227|12,6.1261|54,3.5430|106,3.4208|23,3.3859|48,6.1610|21,2.8449|111,0.4014|92,3.0194|41,1.6581|4,2.2515|109,4.2237|52,1.4302|119,1.7453|43,0.5585|72,1.0123|20,0.8901|91,5.4454|71,4.5029|56,3.0718|91,5.8119|99,5.9690|110,2.6878|115,-0.3581|113,0.7854|111,2.5307|102,1.3265|41,-0.8407|38,0.0906|83,2.5656|110,5.0440|54,4.3459|5,0.8727|72,1.5173|36,1.1170|81,1.0123|88,5.5676|78,-1.3358|83,0.7881|60,3.8573|109,2.1118|96,-0.5426|23,3.4907|59,3.1067|64,1.0821|40,2.0420|23,3.3859|69,1.5154|86,1.6120|8,4.7298|59,0.0390|34,-1.0198|7,-0.4887|81,3.9968|67,4.3808|112,5.9516|90,3.2987|113,6.2657|102,2.1621|65,0.2504|92,1.3657|96,3.4558|108,2.0420|85,2.0595|28,1.6578|70,-0.5521|11,3.8746|38,5.9167|41_47787
4.5204|79,3.8746|90,3.9619|19,-1.5539|92,0.4189|40,4.4506|92,3.7176|86,-1.1912|17,0.8485|24,2.5831|87,1.0996|86,3.2114|110,2.7018|14,6.1261|54,3.5430|106,3.4208|23,3.3859|48,6.1610|21,2.8449|111,0.4014|92,3.0098|38,1.1816|5,2.2687|108,4.2237|52,1.4302|119,1.7453|43,0.5606|68,1.0123|20,0.8951|93,3.3455|48,6.2657|45,1.0297|97,-1.0550|79,2.6529|35,3.0543|82,2.6180|107,3.1067|115,5.7770|108,-1.1777|111,3.5256|31,0.8094|97,-0.7702|40,-1.2931|54,4.3459|5,0.8727|72,1.5173|36,1.1170|81,1.0123|88,5.5676|78,-1.3358|83,0.7881|60,3.8573|109,2.1118|96,-0.5426|23,3.4421|58,3.1050|61,1.0821|40,4.1030|109,1.5359|19,0.5760|92,4.3982|43,1.9196|115,-0.0116|34,-1.0198|7,-0.4887|81,3.9968|67,4.3808|112,-0.3467|86,3.2889|110,0.0168|99,2.1621|65,0.2504|92,1.3504|97,3.4558|108,2.0420|85,2.0595|28,1.6578|70,-0.4496|9,3.8746|38,5.9167|41_48368
4.5204|79,3.8746|90,3.9619|19,-1.5539|92,0.4189|40,1.7453|58,3.6477|26,2.4260|109,4.9044|66,0.5411|22,5.3058|22,3.2114|110,2.7018|14,6.1261|54,3.5430|106,3.4208|23,3.3859|48,6.1610|21,2.8449|111,0.4014|92,3.0098|38,1.1816|5,2.2687|108,4.2237|52,1.4302|119,1.7453|43,0.5606|68,1.0123|20,0.8951|93,3.3455|48,6.2657|45,1.0297|97,-1.0550|79,2.6529|35,3.0543|82,2.6180|107,3.1067|115,5.7770|108,-1.1777|111,3.5256|31,0.8094|97,-0.7702|40,-1.2931|54,4.3459|5,0.8727|72,1.5173|36,1.1170|81,1.0123|88,5.5676|78,-1.3358|83,0.7881|60,3.8573|109,2.1118|96,-0.5426|23,3.4421|58,3.1050|61,1.0821|40,4.1030|109,1.5359|19,0.5760|92,4.3982|43,1.9196|115,-0.0116|34,-1.0198|7,-0.4887|81,3.9968|67,4.3808|112,-0.3467|86,3.2889|110,0.0168|99,2.1621|65,0.2504|92,1.3504|97,3.4558|108,2.0420|85,2.0595|28,1.6578|70,-0.4496|9,3.8746|38,5.9167|41_48560
4.5441|79,3.8746|90,3.9619|19,-1.5539|92,0.4189|40,1.7453|58,3.6477|26,2.4138|107,4.9044|66,0.5411|22,5.3058|22,3.2114|110,2.7018|14,6.1261|54,3.5430|106,3.4208|23,3.3859|48,6.1610|21,2.8316|109,0.3743|88,3.0098|38,1.3543|8,2.2687|108,4.2237|52,1.4302|119,1.7453|43,0.5606|68,1.1354|21,0.8951|93,3.3455|48,0.0416|43,1.0297|97,-1.0550|79,2.6529|35,3.0543|82,2.6180|107,3.1192|112,-0.5200|105,-1.1777|111,3.5256|31,0.8094|97,-0.7702|40,-1.2770|51,4.3459|5,0.8727|72,1.5173|36,1.1170|81,1.0123|88,-0.7649|76,-1.3701|83,0.7881|60,3.8573|109,2.1118|96,-0.5426|23,3.4421|58,3.1050|61,1.0849|37,4.1030|109,1.5359|19,0.5760|92,4.3982|43,1.9196|115,-0.0116|34,-1.0198|7,-0.4719|83,3.9968|67,4.3808|112,-0.3467|86,3.2889|110,0.0168|99,2.1621|65,0.2504|92,1.3504|97,3.4432|106,2.0420|85,2.0595|28,1.6578|70,-0.4496|9,3.8746|38,-0.4112|41_48542
4.5441|79,3.8746|90,3.9619|19,-1.5531|88,0.4189|40,1.7958|60,3.6477|26,2.4138|107,-1.3997|62,0.5411|22,5.3058|22,3.2114|110,2.7018|14,6.1261|54,3.5430|106,3.4208|23,3.3859|48,6.1610|21,2.8316|109,0.3743|88,3.0098|38,1.3543|8,2.2687|108,4.2237|52,1.4302|119,1.6608|44,1.9548|86,-0.0131|114,5.7072|112,3.3455|48,-0.0574|48,1.0022|95,5.1836|78,2.7016|38,3.0543|82,2.5862|109,3.1067|115,-0.4827|109,5.0789|112,3.5256|31,0.8214|94,5.4629|43,5.0440|54,4.3459|5,0.8902|73,1.4506|37,1.1428|85,1.0318|86,-0.7249|77,-1.2993|87,0.6744|59,3.8627|106,2.1118|96,-0.5426|23,3.4421|58,3.1050|61,1.0849|37,4.1030|109,1.5903|17,0.5760|92,4.3982|43,1.9196|115,0.0620|35,-1.0198|7,-0.4719|83,3.9968|67,4.3808|112,-0.3467|86,3.2889|110,-0.0093|100,2.1621|65,0.2504|92,1.3504|97,3.4548|102,2.0420|85,2.0595|28,1.6578|70,-0.4496|9,3.8746|38,-0.4112|41_48746
